feature	score_12
lun_bod_sca.lean_g	16.57
lun_bod_sca.bmc_g	15.57
lun_bod_sca.ag.ratio	14.57
lun_bod_sca.bmd_g	13.57
eco_art.ecosteatosis_ecocardio	12.57
eco_art.steatosis_yn	11.57
eco_art.steatosis_degree	10.57
eco_art.enlarged_liver	9.57
eco_art.aorta_calcifications	8.57
eco_art.ea_low	7.57
eco_art.fe	6.57
eco_art.siv	5.57
eco_art.lbm	4.57
ana_far.att_indication1	3
eco_art.epicardial_fat	2
eco_art.ea	1
